                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9941,                 5.2039,                 11.801,                 3.4627,                0.00853,                0.42047,                0.02092,                0.00498,                 0.0041,                0.31055,                 0.0056,                0.00112,                 2.4071,                 4.8158,                  4.342,                 3.0284,              0.0033312,              0.0033312,              0.0033312
                      2,                   2.46,                 4.7236,                 5.1531,                 2.9554,                0.01381,                0.56127,                0.03182,                0.00873,                0.00337,                0.24725,                0.00539,                 0.0012,                 2.4097,                 4.7462,                 3.2119,                 3.0272,              0.0066513,              0.0066513,              0.0066513
                      3,                 2.3793,                 4.6878,                 3.8598,                 2.8659,                 0.5194,                0.21927,                0.04559,                0.01165,                0.51762,                 0.1289,                0.02139,                0.00551,                 2.4885,                 4.6273,                 3.2236,                 3.0816,              0.0099583,              0.0099583,              0.0099583
                      4,                 2.3529,                 4.6369,                  3.504,                 2.8301,                0.01548,                0.53696,                0.02996,                0.00773,                0.01652,                0.03716,                0.01029,                0.00239,                 2.5643,                 4.8994,                 3.4118,                 3.1717,              0.0099406,              0.0099406,              0.0099406
                      5,                 2.2886,                 4.5786,                 3.3241,                 2.7854,                0.55868,                0.02248,                 0.0284,                0.00826,                0.54978,                0.01147,                0.00877,                0.00299,                   2.49,                  5.229,                  3.556,                 2.9722,              0.0099406,              0.0099406,              0.0099406
                      6,                 2.2764,                  4.474,                 3.2695,                 2.7666,                0.57847,                0.06606,                0.06429,                0.01755,                 0.5837,                0.04083,                0.02933,                 0.0076,                 2.2799,                  4.428,                 2.9177,                  2.896,              0.0099208,              0.0099208,              0.0099208
                      7,                  2.242,                 4.4493,                 3.2169,                 2.7255,                0.48276,                0.07511,                 0.0961,                0.02734,                0.60649,                0.04404,                0.03733,                0.01086,                 2.1981,                 4.3333,                   2.86,                 2.8768,               0.009901,               0.009901,               0.009901
                      8,                 2.2031,                 4.3959,                 3.1926,                 2.6989,                0.01608,                0.76994,                0.04297,                0.01231,                0.51122,                0.03761,                0.00984,                0.00255,                 2.2818,                 4.5058,                 3.3843,                 2.9471,              0.0098812,              0.0098812,              0.0098812
                      9,                 2.1955,                 4.3936,                 3.1449,                 2.7036,                0.20758,                 0.0797,                0.09139,                0.02779,                0.61728,                0.05275,                0.04374,                0.01246,                  2.193,                 4.2718,                 2.8299,                 2.8434,              0.0098614,              0.0098614,              0.0098614
                     10,                 2.1789,                 4.3602,                 3.0822,                 2.6689,                 0.2126,                0.11072,                0.09253,                0.02661,                0.10129,                0.05413,                0.03746,                0.00969,                 2.2033,                 4.3601,                 2.8925,                 2.8422,              0.0098416,              0.0098416,              0.0098416
                     11,                  2.143,                 4.3512,                 3.0877,                 2.6644,                0.15632,                0.10099,                0.08447,                0.02523,                0.63287,                 0.0555,                0.04314,                0.01131,                 2.1381,                 4.2494,                 2.8429,                 2.8192,              0.0098218,              0.0098218,              0.0098218
                     12,                 2.1409,                 4.2938,                  3.017,                 2.6469,                0.23359,                0.09468,                0.10167,                 0.0306,                0.11814,                0.06055,                0.05231,                0.01478,                 2.1664,                 4.2893,                 2.8501,                 2.8397,               0.009802,               0.009802,               0.009802
                     13,                 2.1353,                 4.2873,                 3.0146,                 2.6448,                 0.1824,                 0.0908,                0.10573,                0.03089,                0.11798,                0.05642,                0.04349,                0.01133,                 2.1379,                 4.1659,                 2.7854,                 2.8228,              0.0097822,              0.0097822,              0.0097822
                     14,                 2.1207,                 4.2456,                 2.9832,                 2.6176,                0.21174,                0.14482,                0.11691,                 0.0345,                0.10051,                0.06376,                0.04388,                0.01184,                  2.182,                 4.2183,                 2.7379,                 2.8424,              0.0097624,              0.0097624,              0.0097624
                     15,                 2.1344,                  4.243,                 2.9628,                  2.617,                0.14281,                 0.1641,                0.09562,                0.02816,                0.08145,                0.06514,                0.03884,                0.00959,                 2.1857,                 4.1796,                 2.7831,                 2.8381,              0.0097426,              0.0097426,              0.0097426
                     16,                 2.1184,                  4.194,                 2.9331,                  2.593,                0.12273,                0.07648,                0.08002,                0.02089,                0.07732,                0.04862,                0.03205,                0.00786,                 2.2864,                 4.4048,                 3.2098,                 2.9073,              0.0097228,              0.0097228,              0.0097228
                     17,                 2.0996,                 4.1732,                 2.8832,                 2.6136,                0.17677,                0.25296,                0.12511,                0.03554,                0.10213,                0.06927,                0.05228,                0.01438,                 2.1463,                 4.0095,                 2.6235,                 2.7823,               0.009703,               0.009703,               0.009703
                     18,                 2.0796,                 4.1692,                 2.9026,                 2.5867,                0.21047,                0.17313,                0.12316,                0.03679,                 0.1024,                0.07573,                0.05771,                 0.0171,                 2.1518,                 4.1746,                 2.7684,                 2.8214,              0.0096832,              0.0096832,              0.0096832
                     19,                 2.0577,                 4.1101,                 2.8474,                 2.5738,                0.20263,                0.17506,                0.13244,                0.03867,                0.12001,                0.07661,                0.06328,                0.01806,                  2.138,                 4.0034,                 2.6113,                 2.7916,              0.0096634,              0.0096634,              0.0096634
                     20,                 2.0733,                 4.1379,                 2.8506,                 2.5796,                0.22569,                0.21562,                0.13913,                0.04381,                 0.1347,                0.07064,                0.06337,                0.01885,                   2.12,                 3.9398,                 2.6872,                 2.7981,              0.0096436,              0.0096436,              0.0096436
                     21,                 2.0831,                 4.1395,                 2.8361,                 2.5644,                0.18953,                 0.1642,                0.12078,                0.03572,                0.11374,                0.08349,                0.05967,                0.01588,                 2.1418,                  4.061,                 2.6753,                 2.8009,              0.0096238,              0.0096238,              0.0096238
                     22,                 2.0685,                 4.1146,                 2.8394,                 2.5793,                 0.1729,                0.21183,                0.13488,                0.04297,                0.12668,                0.08394,                0.06995,                0.01928,                  2.112,                 3.9448,                 2.5798,                 2.7665,               0.009604,               0.009604,               0.009604
                     23,                 2.0605,                 4.1174,                  2.806,                 2.5443,                0.22225,                0.24889,                0.15322,                0.04778,                0.11548,                0.08486,                0.07045,                0.02121,                 2.1631,                 3.9027,                 2.5903,                 2.8079,              0.0095842,              0.0095842,              0.0095842
                     24,                  2.039,                   4.06,                  2.751,                 2.5465,                0.20258,                0.24191,                0.15803,                0.04668,                0.10971,                0.08349,                0.06518,                0.01667,                 2.1203,                 3.9771,                 2.5714,                 2.8061,              0.0095644,              0.0095644,              0.0095644
                     25,                 2.0579,                 4.0374,                 2.7195,                  2.552,                0.21267,                0.27714,                 0.1517,                0.04836,                  0.097,                0.08257,                 0.0587,                0.01468,                 2.1412,                 3.8889,                 2.5259,                 2.8005,              0.0095446,              0.0095446,              0.0095446
                     26,                 2.0283,                 4.0539,                 2.7357,                 2.5447,                0.22954,                0.21502,                0.15895,                0.05021,                0.14726,                0.09083,                0.08633,                0.02247,                 2.1445,                 3.8711,                 2.5545,                 2.8112,              0.0095248,              0.0095248,              0.0095248
                     27,                 2.0435,                 4.0438,                 2.6987,                 2.5417,                0.26503,                0.21992,                0.17232,                0.05024,                0.12716,                0.08073,                0.06973,                0.01902,                 2.1483,                 3.9469,                 2.4767,                 2.7892,               0.009505,               0.009505,               0.009505
                     28,                 2.0242,                 4.0034,                    2.7,                 2.5206,                0.31839,                0.22909,                0.20475,                0.05861,                0.13642,                0.09083,                0.07902,                0.02195,                 2.1542,                 3.8745,                  2.513,                 2.7853,              0.0094852,              0.0094852,              0.0094852
                     29,                 2.0389,                 4.0017,                 2.6707,                 2.5338,                0.23419,                0.25838,                0.18386,                0.05562,                0.11644,                0.11193,                0.08863,                0.02507,                 2.1254,                 3.8267,                 2.4841,                 2.7699,              0.0094654,              0.0094654,              0.0094654
                     30,                  2.027,                 3.9905,                 2.6937,                 2.5204,                0.19309,                0.26313,                0.15542,                0.04946,                0.12341,                0.11055,                0.08178,                0.02295,                 2.1359,                 3.8582,                 2.4495,                  2.739,              0.0094456,              0.0094456,              0.0094456
                     31,                 2.0199,                 3.9918,                 2.6448,                  2.519,                0.20625,                0.29177,                0.17479,                0.05386,                0.10744,                0.11376,                0.07659,                 0.0215,                 2.1352,                 3.8068,                 2.4105,                 2.7699,              0.0094258,              0.0094258,              0.0094258
                     32,                 2.0122,                 3.9457,                 2.6232,                 2.5037,                0.25306,                0.30217,                 0.2068,                0.06529,                0.11314,                0.11468,                0.08739,                0.02684,                 2.1887,                 3.8464,                 2.4217,                 2.8136,               0.009406,               0.009406,               0.009406
                     33,                 2.0138,                 3.9474,                 2.5876,                 2.4961,                0.25558,                0.23873,                0.19429,                0.06264,                0.13566,                0.11284,                0.09147,                0.02812,                 2.1128,                 3.8564,                 2.4782,                  2.762,              0.0093862,              0.0093862,              0.0093862
                     34,                  1.996,                 3.9167,                 2.5539,                 2.4847,                0.27705,                0.28438,                0.21343,                0.06512,                0.14083,                0.12936,                0.09883,                0.02761,                 2.1236,                 3.8303,                 2.3656,                 2.7612,              0.0093664,              0.0093664,              0.0093664
                     35,                 1.9921,                 3.9464,                 2.5757,                 2.4823,                0.27393,                 0.3156,                0.22497,                0.07091,                0.13963,                0.12523,                0.09684,                0.02921,                 2.1502,                 3.7514,                 2.3349,                 2.7632,              0.0093466,              0.0093466,              0.0093466
                     36,                   1.98,                 3.9256,                  2.542,                  2.462,                 0.2405,                0.30071,                0.21347,                 0.0631,                0.14416,                0.11422,                0.10319,                0.02911,                 2.1735,                 3.8179,                 2.3508,                 2.8004,              0.0093268,              0.0093268,              0.0093268
                     37,                 1.9837,                 3.9262,                 2.5446,                 2.4771,                0.30275,                0.31275,                0.22892,                0.07418,                0.16554,                0.13945,                0.11903,                0.03598,                 2.1363,                 3.7937,                 2.3263,                 2.7689,               0.009307,               0.009307,               0.009307
                     38,                 1.9759,                 3.8697,                 2.5223,                 2.4559,                0.26793,                0.29271,                0.20637,                0.06899,                0.14352,                0.13257,                0.10155,                0.02984,                 2.1211,                 3.6926,                 2.3401,                 2.7533,              0.0092872,              0.0092872,              0.0092872
                     39,                 1.9514,                 3.8723,                 2.5177,                 2.4552,                0.30018,                0.31223,                0.22683,                0.07177,                0.13271,                0.12845,                0.09853,                0.02948,                 2.1462,                 3.7515,                 2.3457,                 2.7769,              0.0092674,              0.0092674,              0.0092674
                     40,                  1.954,                   3.88,                 2.5132,                  2.466,                0.30829,                0.31623,                0.25261,                0.07843,                0.17541,                0.13858,                0.12768,                0.03674,                 2.1322,                 3.7033,                 2.2661,                 2.7721,              0.0092476,              0.0092476,              0.0092476
                     41,                 1.9541,                 3.8515,                 2.5022,                 2.4444,                0.31733,                  0.324,                0.25964,                0.08438,                 0.1781,                   0.15,                0.12586,                0.03716,                 2.1195,                 3.6926,                 2.2256,                 2.7366,              0.0092278,              0.0092278,              0.0092278
                     42,                 1.9554,                  3.834,                  2.441,                 2.4431,                0.31089,                0.33991,                0.25373,                0.08286,                0.16181,                0.15872,                0.13279,                0.03598,                 2.1314,                 3.7104,                 2.1966,                 2.7548,               0.009208,               0.009208,               0.009208
                     43,                 1.9391,                 3.8182,                 2.4345,                 2.4321,                0.36532,                0.34703,                0.28438,                0.08905,                0.17921,                 0.1656,                0.13167,                0.03674,                 2.1043,                 3.6966,                 2.2067,                 2.7261,              0.0091882,              0.0091882,              0.0091882
                     44,                 1.9311,                 3.7867,                 2.4023,                 2.4207,                0.29604,                0.33305,                0.25166,                0.08242,                 0.1654,                0.16193,                0.13186,                0.03857,                 2.1143,                 3.6491,                 2.2086,                  2.757,              0.0091684,              0.0091684,              0.0091684
                     45,                 1.9367,                 3.7672,                 2.3696,                 2.4168,                0.31433,                  0.338,                0.26468,                0.08555,                0.17611,                0.16376,                0.14026,                0.03975,                 2.1348,                 3.7125,                 2.2041,                  2.743,              0.0091486,              0.0091486,              0.0091486
                     46,                 1.9316,                 3.8109,                 2.4146,                 2.4274,                0.37719,                0.35413,                0.31058,                0.10378,                0.19465,                0.16147,                0.13973,                0.04166,                 2.0695,                 3.6495,                 2.1632,                 2.6925,              0.0091288,              0.0091288,              0.0091288
                     47,                  1.953,                 3.7964,                 2.4148,                 2.4206,                0.34504,                0.37098,                0.30002,                0.10226,                0.17715,                0.18119,                 0.1487,                0.04313,                 2.0591,                 3.5745,                 2.0987,                  2.681,               0.009109,               0.009109,               0.009109
                     48,                   1.93,                  3.797,                  2.388,                 2.4068,                0.41143,                0.34843,                0.33248,                0.11269,                 0.2108,                0.17248,                0.16273,                0.05013,                  2.051,                 3.6058,                 2.1275,                 2.6762,              0.0090892,              0.0090892,              0.0090892
                     49,                  1.914,                 3.7391,                 2.3396,                 2.4021,                0.37012,                0.34428,                0.30649,                0.09614,                0.19549,                 0.1656,                0.13866,                0.03896,                 2.1033,                 3.6341,                 2.1906,                  2.738,              0.0090694,              0.0090694,              0.0090694
                     50,                 1.8972,                 3.7361,                 2.3626,                 2.3919,                0.39524,                0.36453,                0.31934,                0.10517,                0.20472,                0.17651,                0.15998,                0.04857,                 2.0781,                 3.5893,                  2.145,                 2.7116,              0.0090496,              0.0090496,              0.0090496
                     51,                 1.9193,                  3.741,                 2.3221,                 2.3952,                0.41467,                0.35717,                0.33211,                0.10663,                0.21794,                0.16623,                0.16123,                 0.0446,                 2.0766,                 3.5656,                 2.1211,                 2.6873,              0.0090298,              0.0090298,              0.0090298
                     52,                 1.9058,                 3.7122,                 2.2888,                 2.3721,                0.40052,                0.38247,                0.33509,                0.10244,                0.20829,                0.18899,                0.16189,                0.04648,                 2.1096,                 3.5378,                 2.1023,                 2.7228,                0.00901,                0.00901,                0.00901
                     53,                 1.8979,                 3.6961,                 2.2785,                 2.3824,                0.38582,                0.40652,                 0.3525,                0.11754,                0.23123,                0.18028,                0.18342,                0.05374,                 2.1013,                 3.5141,                 2.0526,                 2.7165,              0.0089902,              0.0089902,              0.0089902
                     54,                 1.8901,                   3.69,                 2.2519,                 2.3764,                0.37728,                0.40005,                0.33665,                0.11412,                0.22667,                0.18028,                0.17428,                0.05469,                 2.0689,                 3.5259,                 2.0395,                  2.687,              0.0089704,              0.0089704,              0.0089704
                     55,                 1.8752,                 3.6397,                 2.2281,                 2.3508,                0.40396,                 0.3853,                0.35338,                0.12376,                0.23429,                0.19633,                 0.1914,                0.05741,                 2.0439,                 3.5627,                  2.025,                  2.689,              0.0089506,              0.0089506,              0.0089506
                     56,                 1.8744,                 3.6753,                  2.238,                 2.3611,                0.47225,                0.37863,                 0.3923,                0.13041,                0.23349,                0.18028,                0.18517,                0.05155,                 2.1563,                 3.5662,                 2.0276,                 2.7708,              0.0089308,              0.0089308,              0.0089308
                     57,                 1.8882,                 3.6797,                 2.2122,                 2.3699,                0.36853,                0.38292,                0.33849,                0.11665,                0.21015,                0.19771,                0.17293,                0.05131,                 2.0918,                  3.511,                 2.0438,                 2.7137,               0.008911,               0.008911,               0.008911
                     58,                 1.8713,                 3.6781,                 2.2193,                 2.3484,                0.41268,                0.41584,                 0.3624,                0.12093,                0.22643,                0.20275,                0.17616,                 0.0508,                 2.0995,                 3.5697,                 2.0237,                 2.7439,              0.0088912,              0.0088912,              0.0088912
