                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 2.0376,                 4.0039,                 2.6706,                 2.5336,                 0.2136,                0.24193,                0.16213,                  0.051,                0.12836,                0.10963,                0.08956,                0.02624,                 2.1337,                 3.9299,                 2.4839,                 2.7454,              0.0095644,              0.0095644,              0.0095644
                     25,                 2.0245,                 3.9874,                 2.6542,                 2.5096,                0.25159,                0.26919,                0.18773,                0.05683,                0.13544,                0.10642,                 0.0875,                0.02454,                 2.1368,                 3.8471,                 2.4688,                 2.7659,              0.0095446,              0.0095446,              0.0095446
                     26,                 2.0064,                 3.9701,                 2.6199,                 2.5194,                0.24586,                0.25951,                0.18647,                0.05577,                0.12556,                0.10321,                0.08214,                0.02361,                 2.1203,                 3.9047,                 2.4488,                 2.7327,              0.0095248,              0.0095248,              0.0095248
                     27,                 1.9927,                 3.9116,                 2.5799,                 2.5027,                0.30719,                0.29816,                   0.23,                0.06996,                0.16491,                0.11972,                0.10981,                0.03279,                 2.1057,                 3.8114,                 2.4145,                 2.7223,               0.009505,               0.009505,               0.009505
                     28,                 1.9927,                 3.8845,                 2.5506,                 2.5006,                0.26194,                0.30432,                0.22051,                0.06548,                0.15744,                0.11789,                0.10964,                0.03045,                 2.1601,                  3.862,                 2.3475,                 2.7611,              0.0094852,              0.0094852,              0.0094852
                     29,                 1.9794,                   3.87,                 2.5326,                 2.4683,                0.24195,                0.27822,                 0.2058,                0.06427,                0.15521,                0.12569,                0.10609,                0.03014,                 2.1169,                 3.8792,                 2.4302,                 2.7424,              0.0094654,              0.0094654,              0.0094654
                     30,                 2.0028,                 3.9069,                 2.5182,                 2.4702,                 0.2659,                0.29998,                 0.2209,                0.07222,                  0.164,                0.13009,                0.12165,                0.03712,                 2.1281,                 3.7919,                 2.3019,                 2.7362,              0.0094456,              0.0094456,              0.0094456
                     31,                 1.9791,                 3.8822,                 2.5372,                 2.4716,                0.27861,                 0.3198,                0.22976,                0.07395,                0.17402,                0.13174,                0.12638,                0.03676,                 2.0801,                 3.7422,                 2.2852,                 2.7088,              0.0094258,              0.0094258,              0.0094258
                     32,                 1.9706,                 3.8447,                 2.5273,                 2.4654,                0.32521,                0.31796,                0.25428,                0.08036,                0.17836,                0.13991,                0.13483,                0.04133,                 2.1275,                 3.7661,                 2.2876,                 2.7558,               0.009406,               0.009406,               0.009406
                     33,                 1.9643,                 3.8443,                 2.4853,                 2.4591,                0.30982,                0.30092,                0.24323,                0.07394,                0.18566,                0.13807,                0.12661,                0.03441,                 2.1617,                 3.7618,                 2.2759,                 2.7865,              0.0093862,              0.0093862,              0.0093862
                     34,                  1.977,                 3.7952,                  2.441,                 2.4523,                0.29905,                0.31977,                0.23617,                 0.0768,                0.17989,                0.13327,                0.12827,                0.03742,                 2.0988,                 3.8166,                 2.2843,                 2.6994,              0.0093664,              0.0093664,              0.0093664
                     35,                   1.96,                 3.8003,                 2.3794,                   2.45,                0.29867,                0.31354,                0.23251,                 0.0751,                0.18605,                0.12661,                0.12997,                0.03675,                 2.1479,                 3.8713,                 2.3367,                 2.7769,              0.0093466,              0.0093466,              0.0093466
                     36,                  1.952,                  3.787,                 2.3729,                 2.4425,                 0.3159,                0.36514,                0.26261,                0.08529,                0.19189,                0.14862,                0.13607,                 0.0408,                 2.1346,                 3.8012,                 2.2158,                 2.7359,              0.0093268,              0.0093268,              0.0093268
                     37,                 1.9392,                 3.7883,                 2.3971,                 2.4183,                0.30933,                0.39472,                0.27909,                0.08824,                0.18758,                0.16193,                0.14922,                0.04462,                 2.1649,                  3.747,                 2.1684,                 2.7481,               0.009307,               0.009307,               0.009307
                     38,                 1.9418,                 3.7668,                 2.3643,                 2.4535,                0.34042,                0.30147,                0.27673,                0.08578,                0.20624,                0.15872,                0.15572,                0.04436,                 2.1872,                 3.8128,                 2.2568,                 2.7969,              0.0092872,              0.0092872,              0.0092872
                     39,                 1.9495,                 3.7565,                 2.3167,                 2.4075,                0.34524,                0.37971,                  0.286,                 0.0947,                0.22448,                0.14083,                0.14947,                0.04427,                 2.0981,                 3.7365,                 2.1882,                 2.7104,              0.0092674,              0.0092674,              0.0092674
                     40,                  1.933,                 3.7496,                 2.3244,                 2.4299,                0.32055,                0.39051,                0.29126,                0.09974,                0.21881,                0.16239,                0.16421,                0.04968,                 2.1038,                 3.6453,                  2.094,                 2.7077,              0.0092476,              0.0092476,              0.0092476
                     41,                 1.9296,                 3.7547,                 2.3291,                 2.4164,                0.39796,                0.33935,                0.30051,                 0.0946,                0.20556,                0.15642,                0.15261,                0.04647,                 2.1753,                 3.6917,                 2.1616,                 2.7885,              0.0092278,              0.0092278,              0.0092278
                     42,                 1.9311,                 3.7359,                 2.3062,                 2.4032,                 0.3469,                0.40869,                0.32028,                0.10574,                0.24288,                0.18211,                0.19119,                0.05585,                 2.1202,                 3.6634,                 2.0819,                 2.7444,               0.009208,               0.009208,               0.009208
                     43,                 1.9139,                  3.693,                 2.2552,                 2.3939,                0.40791,                0.41526,                0.35236,                0.12357,                0.21188,                0.17569,                0.17304,                0.05613,                 2.1004,                 3.6401,                 2.0753,                 2.7049,              0.0091882,              0.0091882,              0.0091882
                     44,                 1.9079,                 3.6775,                 2.2771,                 2.3734,                 0.3284,                0.33877,                0.27028,                0.08513,                0.18388,                0.14174,                0.14077,                0.04173,                 2.1907,                 3.7855,                 2.2803,                 2.7873,              0.0091684,              0.0091684,              0.0091684
